sensor_count,received_mean,received_std,avg_latency_ms_mean,avg_latency_ms_std,max_latency_ms_mean,max_latency_ms_std,avg_jitter_ms_mean,avg_jitter_ms_std,max_jitter_ms_mean,max_jitter_ms_std
2,18000.2,0.34960294939005054,0.25517924999999997,0.23572931529454735,6.975333999999999,3.3083070626050155,0.03645875,0.0013764079839689,6.580686,3.0628539534121146
4,18000.125,0.21245914639969937,0.34272931749999996,0.23195820819579704,7.702971,4.44961424628042,0.05739319750000001,0.004081687885058671,7.352100250000001,4.439857125178606
6,18000.13333333333,0.2698879511438144,0.46296276916666673,0.22799105677321424,6.1592633333333335,0.8153218473362693,0.078102785,0.0027849892001635805,5.737194333333333,0.8273918051423945
8,18000.275,0.24152294576982397,0.6004195525,0.2253480254583029,5.532988124999999,1.1528671166209274,0.08542052374999999,0.0027987147056633315,4.962141125,1.190933464249474
10,18000.140000000003,0.17126976771601654,0.7538788212,0.22208771863246285,6.7317941,2.1626801902959536,0.098491735,0.0027965934124623447,6.013168800000001,2.04055296372657
12,18001.216666666667,3.4125313728042093,0.9021238701666666,0.21683299765440758,7.203596583333332,2.719498285345192,0.10285463583333335,0.002606361833604553,6.296755,2.63416674189617
14,18000.0,0.14677176197567665,1.0598578964285714,0.20480385169388524,7.805720714285714,1.9167155086129715,0.11297701785714284,0.0027758591178694675,6.785469857142857,1.8788619956675698
16,18000.025,0.15645819462932156,1.2087409970187502,0.20262013295255782,9.174353,4.738651593079799,0.115329631875,0.0036841012075803396,7.9968218124999995,4.798704540230332
18,18000.022222222222,0.15537908861831412,1.3570367534999999,0.18566383733435537,7.107570111111111,1.4250327510742862,0.11923208666666667,0.00283956507074756,5.759656888888889,1.3161514607554259
20,18000.089999999997,0.11498792207094238,1.4958017695,0.19006080414235976,7.9292576000000015,3.2825100425388967,0.12265012850000004,0.0022695358354200648,6.4707235,3.250808758903039
22,17999.93181818182,0.19550739243312018,1.6530165749999999,0.17782491820422516,9.401039363636363,3.6552116223178146,0.12382483999999998,0.003964645423506533,7.7877719999999995,3.589148117406068
24,18000.008333333335,0.18509256943260835,1.8038295725000004,0.1707805919084782,8.431729416666666,3.50433496589692,0.12973696416666666,0.0027806659000050053,6.448654374999999,2.9723042508075457
26,17999.87307692308,0.1730056833440734,1.947639495615385,0.16442456395831667,9.682743461538461,4.184604969920604,0.12951066884615386,0.002997578002100476,7.691897846153846,4.025593202120207
28,17999.928571428572,0.1448276792929999,2.089638635428571,0.17720369578573653,10.864118035714288,5.247255116204904,0.13221630571428572,0.004601282947043207,8.779263892857141,5.219407630453286
