sensor_count,received_mean,received_std,avg_latency_ms_mean,avg_latency_ms_std,max_latency_ms_mean,max_latency_ms_std,avg_jitter_ms_mean,avg_jitter_ms_std,max_jitter_ms_mean,max_jitter_ms_std
2,18004.95,3.34539484465835,0.3941649544,0.2897737588412131,6.9617965,3.0579903080346105,0.055928904999999994,0.003125715676578015,6.3062015,2.6923943221281785
4,18004.35,1.8863545089227882,0.537735305,0.2862227784873104,6.474928750000001,1.9383436827214569,0.08059470249999999,0.002599265852666915,5.782322500000001,1.8525615065797711
6,18003.383333333335,1.723207603408096,0.6826353016666667,0.2781087538637252,6.1994578333333346,1.620080929524409,0.08721243000000001,0.001998533894930276,5.547186166666667,1.4958108478012953
8,18003.4,1.674771957942666,0.8086109737500001,0.24757038015678554,6.66241625,1.3592726502063366,0.09275482500000001,0.0017813828516246898,5.741981624999999,1.2589309267269044
10,18002.16,1.7721299174845464,0.939001135,0.22540421787359902,7.2471862,3.0873476773254125,0.101021969,0.004894160013833841,6.1329297,2.567729786244912
12,18003.358333333334,1.788185679590103,1.0849161516666666,0.22492743756330658,8.177180416666667,3.3482288339720307,0.10301971750000001,0.003667865446671047,7.073467916666668,3.3352850336050754
14,18003.77142857143,1.7797678770401562,1.225776184285714,0.22840389744861977,6.730494142857144,1.1873213467472494,0.10804856214285714,0.0018890473871164665,5.407175357142856,0.978013876710931
16,18002.85625,2.069338410780927,1.36972136375,0.23519657344958111,8.52057575,4.631577264789128,0.11582596,0.005074296110856437,7.16388625,4.435993264264147
18,18004.383333333335,2.20696148864183,1.5060686372222223,0.22270760306484583,7.547283611111112,0.9346401537159745,0.1231727711111111,0.008327029635062873,6.028171055555556,0.9041251923470487
20,18003.105,2.072096361980851,1.658262007,0.22260525195850125,10.5058477,7.9533787746718945,0.12497429699999998,0.007937712139280722,8.8428461,8.015373966146067
22,18003.78181818182,2.003875950404972,1.7937442100909091,0.21939639766890642,8.887396227272728,3.5636920998696064,0.13108894818181818,0.010356221300600304,6.82118709090909,2.725466641297108
24,18003.4625,2.082541516193599,1.9222694000833331,0.21530512229658877,10.971229541666668,5.430502826179272,0.13178963083333334,0.008536253356524257,9.027718208333335,5.451312356626351
26,18004.11153846154,2.0818594391849152,2.0469204496153846,0.20779447312473495,9.647116846153846,3.626749547357742,0.13458109653846156,0.007126486801506027,7.579501846153846,3.6063287399109067
28,18002.7,2.265610998666203,2.186451967857143,0.21132256478199,10.245599571428572,2.4894105633087933,0.1402520075,0.005042301200389188,7.998727535714285,2.41348056885769
30,2584.39,72.34165517925388,2.843936303333334,0.20321438136220177,9.804136266666667,5.976379898829055,0.15810846666666667,0.01597335323535651,6.6791409,5.348603104097771
32,1573.309375,45.69574388402691,126.966034375,4.6867193339618725,228.349325,0.3048451402027003,1.2350809999999999,0.04165924322746059,134.21383437499998,9.644310160178522
