sensor_count,received_mean,received_std,avg_latency_ms_mean,avg_latency_ms_std,max_latency_ms_mean,max_latency_ms_std,avg_jitter_ms_mean,avg_jitter_ms_std,max_jitter_ms_mean,max_jitter_ms_std
2,18000.05,0.15811388300841894,0.803658438,0.16027822486233914,9.660932999999998,2.7965742581874466,0.038398655000000004,0.006255940735210991,8.7981425,2.6015759408238717
4,18000.075,0.23717082451262844,0.8136297575,0.13598950266608206,7.6143,1.384599058928151,0.059527569999999995,0.00503204550175948,6.801702499999999,1.4179075895712983
6,16612.733333333334,4386.161137706402,0.8560294433333333,0.12454924192460698,10.523390166666665,4.893366114696145,0.06916613833333334,0.008071859058967925,9.694608666666666,4.933924979462692
8,14359.9875,6175.294554223597,0.93097416175,0.2718205894233438,7.148177000000001,2.232275951787833,0.07507730624999999,0.012970134460036732,6.236212624999999,2.26823355870202
10,16210.37,5656.1096251064855,0.8722154007,0.27084299925040634,8.9357627,5.024795139019103,0.076543709,0.014513758096117291,8.04615822,4.981647691077927
12,13878.983333333334,7453.032716971456,0.9840074286166665,0.26944004329360893,7.010621191666667,4.737662971141308,0.08561383833333333,0.013690835117103225,6.009538458333333,4.775054166399705
14,12617.585714285713,8663.93178530965,1.048545597142857,0.31291203631602377,5.9821724142857144,3.4069489285943475,0.08802258357142857,0.02063289202876846,4.971467078571428,3.57332109987879
16,15223.399583333336,6158.005954919457,0.9591603550625001,0.22568807258745616,8.143126605000003,5.354957884520972,0.0882011875,0.007747265813840079,7.21000863,5.4855199798200935
18,7773.398366013072,7952.959697614078,1.2671060332352941,0.3005411665000468,5.134372884967322,2.290020894469254,0.13453145124183002,0.08416503363756579,3.905825211111111,2.489481145186734
20,6011.539229876161,8449.68722444318,1.325732679647678,0.3050604532609342,3.6416983492260058,2.1063608890772687,0.10929408821710526,0.017883035755506416,2.3906640239667185,2.3021437159075893
22,7885.329494949496,8919.148172290785,1.2912192036666668,0.4057432273844113,4.13214774090909,2.5716337313385225,0.09995517775757576,0.01898835661597888,2.917742715505051,2.9125326382981545
24,4681.7442355889725,7577.179605906669,1.4203484300313283,0.2905881098211922,3.3964884541353384,1.9771573237815587,0.11468200023182958,0.02674417798656333,2.0455058903822056,2.148748583433119
26,48.1407659796344,50.72893656057625,1.6887863816399213,0.2444843853254393,2.0020029701125015,0.21305018801296233,0.11925394144023345,0.03264554054392693,0.40237165472425823,0.147464373442598
28,1165.9968253968254,3404.958258692695,1.5622013492513225,0.23692114645826326,2.2797531655449736,1.0851584770846157,0.14405107166005293,0.07477115476795372,0.8221684433492064,1.0740404715631964
30,45.57996409975719,27.447578312214265,1.7273309279582194,0.15376434791397178,2.170365096389247,0.17474960643614526,0.15737404141412573,0.04240298098946216,0.6361817869545984,0.16362315259678062
32,33.13209834842415,18.046328584831432,1.7428546919617856,0.25578290951248994,2.1328333421900547,0.19958772275540712,0.15473850040128043,0.04510214697180522,0.5324636801329008,0.21923713799615502
34,21.660862621486675,9.802171525189124,1.8131062495844517,0.34070665424788427,2.464733358659386,0.9026214468862894,0.2149470446935334,0.08113597015011514,0.8520279849252266,0.7901720991102776
36,17.3965100729407,6.103803622319303,1.8391670180141286,0.07009780673120497,2.2649713193140086,0.3671681960143467,0.16235139574240004,0.07244767258615602,0.5730397008545083,0.5025300357269387
38,12.943108072369588,4.032790003155929,1.9040379532746137,0.19987838776834585,2.2431415686544938,0.28111084143812154,0.22949850170536243,0.09888612850079541,0.532201340744233,0.17276463190623015
40,10.41426087322639,2.9532895877885537,1.9026909848619424,0.18102584493926627,2.166086097409793,0.21784755315787707,0.17004194935874278,0.08702940386986802,0.39364984558165966,0.21585496667168957
42,7.5012358717948855,1.7250581074417404,1.980320803876164,0.15213075748038013,2.253359148163322,0.2473300811548027,0.18414703167104415,0.10753081810882499,0.402242676100619,0.2132349503222497
44,7.163652136898105,0.8606303463141245,1.948972613650661,0.18256601178398887,2.194252087711806,0.16716563915326973,0.20554455105376782,0.06705505720424228,0.4223772353530612,0.1425810659530185
46,5.780568958499993,0.6002737604010544,2.1277959335989363,0.23574262941585702,2.3675026730591697,0.27206231216230276,0.18799622887553857,0.07835909123507247,0.35801787172526073,0.14963392398176437
48,4.517807736618221,0.45212407930553306,2.036382378777103,0.20282450833099475,2.2308707059356165,0.17885828922713565,0.17080713254069183,0.06228370287685847,0.34077403975680903,0.11542801107507138
50,3.293325262101354,0.4918729786354839,2.0715096501270827,0.2618953287386607,2.243746373694201,0.2032025993099072,0.18233071776138424,0.09061808275827045,0.30241985790127773,0.13185231511316722
52,2.1743146705445087,0.18560775939931534,2.1135446009068986,0.28750714428140495,2.2709157861571194,0.25562140018909035,0.2149294809999136,0.12939932238108248,0.28814164765629974,0.13034639145832083
54,1.4501300104727524,0.15319869318719184,2.1183345568314182,0.2673705355465889,2.2268347180444596,0.27505909183696015,0.1871751832143293,0.08518852560988675,0.2124876474851539,0.10184188231497594
56,1.406379239986925,0.15749755513740196,1.964752409762092,0.31769913196929955,2.1378673796436423,0.23343735207688576,0.3013304589124168,0.18203277162007173,0.3305831083837089,0.19832713541075908
58,1.4906421999409805,0.11865043468019217,2.1017972821965296,0.22186146348328217,2.2851689802092894,0.1983021094475576,0.32976079284274334,0.14738978854334558,0.37004649034845577,0.1763360467970067
60,1.4609284380930723,0.15793069508268298,2.413133013812712,0.16708717179561883,2.575905820894925,0.18353487277973268,0.2912463862809954,0.12497705887195948,0.3212011228486047,0.1368555768741911
62,1.5816649234188689,0.18592651443105432,2.6990663423983934,0.27323156521384984,2.910457659686132,0.2715639384647122,0.36296198387899953,0.1479292042520869,0.4228364879727685,0.18888764260099192
64,1.584440128347105,0.16446606746361733,2.766642606883323,0.2526619287087033,3.0368027978698504,0.19698654109151528,0.4881898664242198,0.18227974755321139,0.5482391158702615,0.19541428400047114
66,1.6729900247273708,0.23963113777966463,2.693087388392965,0.327293306826343,3.0207232804848285,0.26064128986203455,0.5552944473397501,0.20675401889444361,0.6543112753891777,0.24629563951452293
68,1.6477011448924064,0.1916181013387304,2.7016597270084084,0.220517061017788,2.9818471390113475,0.15391091846466518,0.48694403396608105,0.19004948990697154,0.5658899595431547,0.24426471247033307
70,1.6471779786671987,0.22789185950046914,2.7016037139693267,0.3913409196215179,3.0235688653262995,0.33856755979263603,0.5694682332653072,0.2056532034862675,0.6588642110407568,0.25686223006336834
